# affiliation_overrides.txt
#
# Manually force the affiliation(s) shown for specific units, regardless
# of what's declared in the XML, or inferred via garrison-spawner
# inheritance or filename inference (guessed_affiliation_from_filename).
# This is the highest-priority affiliation source -- for the rare cases
# where every other signal is wrong or missing for a specific unit and
# hand-fixing the source XML isn't practical.
#
# FORMAT: one entry per line --
#
#   <exact unit Name>,<affiliation1>[,<affiliation2>,...]
#
# Lines starting with # are comments; blank lines are ignored. Not
# passed by default -- point at this file with:
#
#   --affiliation-overrides affiliation_overrides.txt
#
# Example (uncomment and edit):
# Enforce,CSA
Green_A_Wing,Rebel
Jabba_Destroyer,Underworld
Star_Jewel,Underworld
Renegades_Blood,Underworld
Tyber_Zann_Interceptor-IV,Underworld
Tyber_Zann_Javelin,Underworld
Urai_Javelin,Underworld
Peggat_2,Underworld
Sipal_StarViper,Underworld
Xizor_Virago,Underworld
Lambda_CT,Empire
Sentinel_CT,Empire
Star_Destroyer_Admiral,Empire
Vindicator_Cruiser_Captain,Empire
TIE_Biggun,Warlords
TIE_Payload,Warlords
TIE_Turbo,Warlords
Venator_Command_Template_Empire,Empire
Mk6_Bomber_Squadron,Sith
Sith_Fighter_Squadron,Sith
Yull_Cruiser_Pirate,CIS
Panaka_Arquitens,Republic
Space_LAAT_Squadron,Republic
Space_LAAT_Squadron_E,Empire
Venator_Command_Rep,Republic
Dauntless_Cruiser_Republic,Republic
Dauntless_Cruiser_E,Empire
Gozanti_Squadron_R,Rebel
MC-30_Frigate_Template,Rebel
MC-40_Frigate_Template,Rebel
Grey_Fish,Rebel
Nebulon_B_Frigate_Captain,Rebel
Interceptor_IV_Dryden_Vos,Neutral
Ugly_OPOPB-Wing,Neutral
Ugly_TIE_Bomber,Neutral
Ugly_TIE_X,Neutral
Ugly_TYE_Wing,Neutral
Ugly_XY_TIE,Neutral
Ugly_X_Ceptor,Neutral
Ugly_X_TIE,Neutral
Ugly_Y_TIE,Neutral
Ugly_Z_TIE,Neutral
T1_Ugly_B_ARC19,Neutral
T1_Ugly_B_ARC95,Neutral
T1_Ugly_B_ARCY_Wing,Neutral
T1_Ugly_B_ARC_Hyena,Neutral
T1_Ugly_B_BTLB_170,Neutral
T1_Ugly_B_HMP_95,Neutral
T1_Ugly_B_LAATHMP,Neutral
T1_Ugly_B_LAATY_Bombship,Neutral
T1_Ugly_B_LAAT_170,Neutral
T1_Ugly_B_Manned_Hyena_01,Neutral
T1_Ugly_B_Manned_Hyena_02,Neutral
T1_Ugly_B_Manned_Hyena_03,Neutral
T1_Ugly_B_Manned_Hyena_04,Neutral
T1_Ugly_B_Torrent_170,Neutral
T1_Ugly_B_V_170,Neutral
T1_Ugly_B_Z175,Neutral
T1_Ugly_F_Actis_Vulture,Neutral
T1_Ugly_F_Delta95,Neutral
T1_Ugly_F_Delta_N1,Neutral
T1_Ugly_F_Manned_Vulture_01,Neutral
T1_Ugly_F_Manned_Vulture_02,Neutral
T1_Ugly_F_Manned_Vulture_03,Neutral
T1_Ugly_F_Manned_Vulture_04,Neutral
T1_Ugly_F_N1Z95,Neutral
T1_Ugly_F_N1Z95CVI,Neutral
T1_Ugly_F_N1_Torrent,Neutral
T1_Ugly_F_N1_Vulture,Neutral
T1_Ugly_F_Torrent_CVI95,Neutral
T1_Ugly_F_V19_Actis,Neutral
T1_Ugly_F_V19_Vulture,Neutral
T1_Ugly_F_V95CVI,Neutral
T1_Ugly_F_V95_Headhunter,Neutral
T1_Ugly_F_VZ95,Neutral
T1_Ugly_F_V_Actis,Neutral
T1_Ugly_F_ZN1,Neutral
T1_Ugly_F_ZV_Wing,Neutral
T2_Ugly_B_BTIE1,Neutral
T2_Ugly_B_BTIE2,Neutral
T2_Ugly_B_Skip_Y_BlastWing,Neutral
T2_Ugly_B_TIEB_Wing,Neutral
T2_Ugly_B_TIE_170,Neutral
T2_Ugly_B_TIE_Extra,Neutral
T2_Ugly_B_TIE_FiBo,Neutral
T2_Ugly_B_TIE_InBo,Neutral
T2_Ugly_B_TIE_Ray_BlastFighter,Neutral
T2_Ugly_B_X170,Neutral
T2_Ugly_B_XV_Wing,Neutral
T2_Ugly_B_YTIE,Neutral
T2_Ugly_B_Y_Ball_Wing,Neutral
T2_Ugly_F_Half_YX_Fighter,Neutral
T2_Ugly_F_T95_Headhunter,Neutral
T2_Ugly_F_TA_Wing,Neutral
T2_Ugly_F_TIEX,Neutral
T2_Ugly_F_TIEX2,Neutral
T2_Ugly_F_TIE_95,Neutral
T2_Ugly_F_TIE_Ray,Neutral
T2_Ugly_F_TIE_Ray2,Neutral
T2_Ugly_F_TU_Wing,Neutral
T2_Ugly_F_TV_Wing,Neutral
T2_Ugly_F_TYE_Wing,Neutral
T2_Ugly_F_T_TIE,Neutral
T2_Ugly_F_TwinTIE_Fighter,Neutral
T2_Ugly_F_XYTIE,Neutral
T2_Ugly_F_Y95,Neutral
T2_Ugly_F_YT_Wing,Neutral
T2_Ugly_F_Y_Ray,Neutral
T2_Ugly_F_ZTIE,Neutral
T2_Ugly_F_ZYX_Half_Wing,Neutral
T2_Ugly_F_Z_Ray,Neutral
T3_Ugly_B_AY_Wing,Neutral
T3_Ugly_B_B95,Neutral
T3_Ugly_B_BUZ_Wing,Neutral
T3_Ugly_B_BViper,Neutral
T3_Ugly_B_Blast_Bomber,Neutral
T3_Ugly_B_OP_Wing,Neutral
T3_Ugly_B_Rihx_Bomber,Neutral
T3_Ugly_B_T65_Viper,Neutral
T3_Ugly_B_TIE_BeBo,Neutral
T3_Ugly_B_XY_Wing,Neutral
T3_Ugly_B_Xray,Neutral
T3_Ugly_B_Y65,Neutral
T3_Ugly_B_YOU_Wing,Neutral
T3_Ugly_B_ZY95,Neutral
T3_Ugly_F_A95,Neutral
T3_Ugly_F_A_Ray,Neutral
T3_Ugly_F_BT_Wing,Neutral
T3_Ugly_F_BX_Wing,Neutral
T3_Ugly_F_BallViper,Neutral
T3_Ugly_F_RZ1_95,Neutral
T3_Ugly_F_RihX_Wing,Neutral
T3_Ugly_F_RihxCeptor,Neutral
T3_Ugly_F_RihxRay,Neutral
T3_Ugly_F_Rixy,Neutral
T3_Ugly_F_Super_A_Wing,Neutral
T3_Ugly_F_Super_Rihkxyrk,Neutral
T3_Ugly_F_TU65_Wing,Neutral
T3_Ugly_F_T_100,Neutral
T3_Ugly_F_UhX_Wing,Neutral
T3_Ugly_F_XCeptor1,Neutral
T3_Ugly_F_XCeptor2,Neutral
T3_Ugly_F_XTIE,Neutral
T3_Ugly_F_XTIE2,Neutral
T3_Ugly_F_XViper,Neutral
Savage_Destroyer_Crimson_Dawn,Underworld
Interceptor_IV_Dryden_Vos,Underworld
Acclamator_II_Wack,Rebel
I_Wing_Red_Squadron_HC,Cartels,Neutral
